ぜんこくNo.,名前,名前(フォルム),英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,とくせい1,とくせい2,夢特性
788,カプ・レヒレ,カプ・レヒレ,Tapu Fini,みず,フェアリー,70,75,115,95,130,85,ミストメイカー,,*テレパシー
789,コスモッグ,コスモッグ,Cosmog,エスパー,,43,29,31,29,31,37,てんねん,,
790,コスモウム,コスモウム,Cosmoem,エスパー,,43,29,131,29,131,37,がんじょう,,
791,ソルガレオ,ソルガレオ,Solgaleo,エスパー,はがね,137,137,107,113,89,97,メタルプロテクト,,
792,ルナアーラ,ルナアーラ,Lunala,エスパー,ゴースト,137,113,89,137,107,97,ファントムガード,,
793,ウツロイド,ウツロイド,Nihilego,いわ,どく,109,53,47,127,131,103,ビーストブースト,,
794,マッシブーン,マッシブーン,Buzzwole,むし,かくとう,107,139,139,53,53,79,ビーストブースト,,
795,フェローチェ,フェローチェ,Pheromosa,むし,かくとう,71,137,37,137,37,151,ビーストブースト,,
796,デンジュモク,デンジュモク,Xurkitree,でんき,,83,89,71,173,71,83,ビーストブースト,,
797,テッカグヤ,テッカグヤ,Celesteela,はがね,ひこう,97,101,103,107,101,61,ビーストブースト,,
798,カミツルギ,カミツルギ,Kartana,くさ,はがね,59,181,131,59,31,109,ビーストブースト,,
799,アクジキング,アクジキング,Guzzlord,あく,ドラゴン,223,101,53,97,53,43,ビーストブースト,,
800,ネクロズマ,ネクロズマ(通常),Necrozma,エスパー,,97,107,101,127,89,79,プリズムアーマー,,
800,ネクロズマ,ネクロズマ(たそがれのたてがみ(日食)),Necrozma,エスパー,はがね,97,157,127,113,109,77,プリズムアーマー,,
800,ネクロズマ,ネクロズマ(あかつきのつばさ(月食)),Necrozma,エスパー,ゴースト,97,113,109,157,127,77,プリズムアーマー,,
800,ネクロズマ,ネクロズマ(ウルトラネクロズマ),Necrozma,エスパー,ドラゴン,97,167,97,167,97,129,ブレインフォース,,
801,マギアナ,マギアナ,Magearna,はがね,フェアリー,80,95,115,130,115,65,ソウルハート,,
802,マーシャドー,マーシャドー,Marshadow,かくとう,ゴースト,90,125,80,90,90,125,テクニシャン,,
803,ベベノム,ベベノム,Poipole,どく,,67,73,67,73,67,73,ビーストブースト,,
804,アーゴヨン,アーゴヨン,Naganadel,どく,ドラゴン,73,73,73,127,73,121,ビーストブースト,,
805,ツンデツンデ,ツンデツンデ,Stakataka,いわ,はがね,61,131,211,53,101,13,ビーストブースト,,
806,ズガドーン,ズガドーン,Blacephalon,ほのお,ゴースト,53,127,53,151,79,107,ビーストブースト,,
807,ゼラオラ,ゼラオラ,Zeraora,でんき,,88,112,75,102,80,143,ちくでん,,
808,メルタン,メルタン,Meltan,はがね,,46,65,65,55,35,34,じりょく,,
809,メルメタル,メルメタル,Melmetal,はがね,,135,143,143,80,65,34,てつのこぶし,,
891,ダクマ,ダクマ,Kubfu,かくとう,,60,90,60,53,50,72,せいしんりょく,,
892,ウーラオス,ウーラオス(いちげきのかた),Urshifu,かくとう,あく,100,130,100,63,60,97,ふかしのこぶし,,
892,ウーラオス,ウーラオス(れんげきのかた),Urshifu,かくとう,みず,100,130,100,63,60,97,ふかしのこぶし,,
893,ザルード,ザルード,Zarude,あく,くさ,105,120,105,70,95,105,リーフガード,,
894,レジエレキ,レジエレキ,Regieleki,でんき,,80,100,50,100,50,200,トランジスタ,,
895,レジドラゴ,レジドラゴ,Regidrago,ドラゴン,,200,100,50,100,50,80,りゅうのあぎと,,
896,ブリザポス,ブリザポス,Glastrier,こおり,,100,145,130,65,110,30,しろのいななき,,
897,レイスポス,レイスポス,Spectrier,ゴースト,,100,65,60,145,80,130,くろのいななき,,
898,バドレックス,バドレックス(通常),Calyrex,エスパー,くさ,100,80,80,80,80,80,きんちょうかん,,
898,バドレックス,バドレックス(はくばじょうのすがた),Calyrex,エスパー,こおり,100,165,150,85,130,50,じんばいったい,,
898,バドレックス,バドレックス(こくばじょうのすがた),Calyrex,エスパー,ゴースト,100,85,80,165,100,150,じんばいったい,,
